TEST,ANSWER,TIME
local_tests/generated\385.txt,7,0.1188955307006836
local_tests/generated\386.txt,10,0.13000106811523438
local_tests/generated\387.txt,8,0.14288830757141113
local_tests/generated\388.txt,2,0.1207270622253418
local_tests/generated\389.txt,9,0.11199712753295898
local_tests/generated\390.txt,6,0.12781167030334473
local_tests/generated\391.txt,18,0.12698960304260254
local_tests/generated\392.txt,2,0.13294267654418945
local_tests/generated\393.txt,16,0.12299227714538574
local_tests/generated\394.txt,15,0.12121915817260742
local_tests/generated\395.txt,16,0.13199281692504883
local_tests/generated\396.txt,7,0.11399483680725098
local_tests/generated\397.txt,10,0.12599682807922363
local_tests/generated\398.txt,2,0.12415146827697754
local_tests/generated\399.txt,7,0.1249995231628418
local_tests/generated\400.txt,8,0.13013601303100586
local_tests/generated\401.txt,12,0.13761305809020996
local_tests/generated\402.txt,5,0.12498903274536133
local_tests/generated\403.txt,4,0.12180757522583008
local_tests/generated\404.txt,15,0.13599491119384766
local_tests/generated\405.txt,9,0.11261510848999023
local_tests/generated\406.txt,12,0.14298605918884277
local_tests/generated\407.txt,14,0.14181733131408691
local_tests/generated\408.txt,2,0.11599612236022949
local_tests/generated\409.txt,16,0.11199808120727539
local_tests/generated\410.txt,3,0.1169588565826416
local_tests/generated\411.txt,1,0.11579704284667969
local_tests/generated\412.txt,14,0.11385726928710938
local_tests/generated\413.txt,8,0.12955594062805176
local_tests/generated\414.txt,10,0.11800098419189453
local_tests/generated\415.txt,9,0.1250004768371582
local_tests/generated\416.txt,3,0.1439979076385498
local_tests/generated\417.txt,3,0.19170546531677246
local_tests/generated\418.txt,11,0.12409472465515137
local_tests/generated\419.txt,11,0.12361550331115723
local_tests/generated\420.txt,-1,0.11299657821655273
local_tests/generated\421.txt,8,0.14873003959655762
local_tests/generated\422.txt,4,0.14399051666259766
local_tests/generated\423.txt,12,0.13219642639160156
local_tests/generated\424.txt,7,0.13698625564575195
local_tests/generated\425.txt,4,0.1300053596496582
local_tests/generated\426.txt,8,0.09541869163513184
local_tests/generated\427.txt,11,0.11694622039794922
local_tests/generated\428.txt,13,0.10858535766601562
local_tests/generated\429.txt,10,0.1139988899230957
local_tests/generated\430.txt,17,0.15211820602416992
local_tests/generated\431.txt,13,0.14447617530822754
local_tests/generated\432.txt,12,0.12600970268249512
local_tests/generated\433.txt,3,0.11618208885192871
local_tests/generated\434.txt,4,0.1336658000946045
local_tests/generated\435.txt,17,0.15957880020141602
local_tests/generated\436.txt,13,0.1125330924987793
local_tests/generated\437.txt,4,0.12328338623046875
local_tests/generated\438.txt,-1,0.12201666831970215
local_tests/generated\439.txt,15,0.11388874053955078
local_tests/generated\440.txt,10,0.13099098205566406
local_tests/generated\441.txt,4,0.11557483673095703
local_tests/generated\442.txt,3,0.12700247764587402
local_tests/generated\443.txt,14,0.13826465606689453
local_tests/generated\444.txt,7,0.1251049041748047
local_tests/generated\445.txt,10,0.11798715591430664
local_tests/generated\446.txt,11,0.13281035423278809
local_tests/generated\447.txt,15,0.11799073219299316
local_tests/generated\448.txt,8,0.13277745246887207
local_tests/generated\449.txt,9,0.14099383354187012
local_tests/generated\450.txt,12,0.11579751968383789
local_tests/generated\451.txt,-1,0.12098908424377441
local_tests/generated\452.txt,17,0.12499666213989258
local_tests/generated\453.txt,5,0.13789749145507812
local_tests/generated\454.txt,11,0.12898778915405273
local_tests/generated\455.txt,10,0.15912175178527832
local_tests/generated\456.txt,12,0.1628870964050293
local_tests/generated\457.txt,11,0.11956548690795898
local_tests/generated\458.txt,5,0.12997817993164062
local_tests/generated\459.txt,5,0.11580467224121094
local_tests/generated\460.txt,10,0.10498356819152832
local_tests/generated\461.txt,2,0.09929895401000977
local_tests/generated\462.txt,-1,0.0989983081817627
local_tests/generated\463.txt,13,0.10922670364379883
local_tests/generated\464.txt,5,0.14198851585388184
local_tests/generated\465.txt,10,0.12469935417175293
local_tests/generated\466.txt,1,0.1149895191192627
local_tests/generated\467.txt,6,0.1293652057647705
local_tests/generated\468.txt,8,0.11599016189575195
local_tests/generated\469.txt,15,0.12201714515686035
local_tests/generated\470.txt,15,0.12797045707702637
local_tests/generated\471.txt,16,0.12299489974975586
local_tests/generated\472.txt,-1,0.1296219825744629
local_tests/generated\473.txt,14,0.15999841690063477
local_tests/generated\474.txt,14,0.12768816947937012
local_tests/generated\475.txt,9,0.11500024795532227
local_tests/generated\476.txt,6,0.11861252784729004
local_tests/generated\477.txt,8,0.13232636451721191
local_tests/generated\478.txt,8,0.11999082565307617
local_tests/generated\479.txt,2,0.11599993705749512
local_tests/generated\480.txt,12,0.12199926376342773
local_tests/generated\481.txt,2,0.12624430656433105
local_tests/generated\482.txt,5,0.13698887825012207
local_tests/generated\483.txt,-1,0.12514686584472656
local_tests/generated\484.txt,-1,0.12548375129699707
local_tests/generated\485.txt,15,0.11388111114501953
local_tests/generated\486.txt,2,0.11399674415588379
local_tests/generated\487.txt,5,0.1011955738067627
local_tests/generated\488.txt,12,0.11199426651000977
local_tests/generated\489.txt,6,0.12618279457092285
local_tests/generated\490.txt,11,0.10299277305603027
local_tests/generated\491.txt,10,0.1299891471862793
local_tests/generated\492.txt,14,0.1160128116607666
local_tests/generated\493.txt,-1,0.19956636428833008
local_tests/generated\494.txt,12,0.17773056030273438
local_tests/generated\495.txt,-1,0.1360321044921875
local_tests/generated\496.txt,2,0.15212345123291016
local_tests/generated\497.txt,2,0.11525177955627441
local_tests/generated\498.txt,-1,0.12303400039672852
local_tests/generated\499.txt,2,0.1259925365447998
local_tests/generated\500.txt,1,0.1250019073486328
local_tests/generated\501.txt,5,0.11817193031311035
local_tests/generated\502.txt,6,0.12200069427490234
local_tests/generated\503.txt,9,0.16034770011901855
local_tests/generated\504.txt,2,0.11400246620178223
local_tests/generated\505.txt,6,0.12673544883728027
local_tests/generated\506.txt,3,0.11398816108703613
local_tests/generated\507.txt,8,0.14443564414978027
local_tests/generated\508.txt,-1,0.12877488136291504
local_tests/generated\509.txt,-1,0.11713790893554688
local_tests/generated\510.txt,6,0.13260173797607422
local_tests/generated\511.txt,11,0.14298677444458008
local_tests/generated\512.txt,10,0.11346316337585449
local_tests/generated\513.txt,4,0.11500287055969238
local_tests/generated\514.txt,10,0.10698890686035156
local_tests/generated\515.txt,2,0.12342262268066406
local_tests/generated\516.txt,-1,0.12829875946044922
local_tests/generated\517.txt,2,0.1270308494567871
local_tests/generated\518.txt,5,0.13799643516540527
local_tests/generated\519.txt,6,0.11670517921447754
local_tests/generated\520.txt,9,0.1249232292175293
local_tests/generated\521.txt,-1,0.1392984390258789
local_tests/generated\522.txt,12,0.11500239372253418
local_tests/generated\523.txt,11,0.1358656883239746
local_tests/generated\524.txt,12,0.12708401679992676
local_tests/generated\525.txt,8,0.1287367343902588
local_tests/generated\526.txt,6,0.10800600051879883
local_tests/generated\527.txt,3,0.1086723804473877
local_tests/generated\528.txt,15,0.19927477836608887
local_tests/generated\529.txt,11,0.11599421501159668
local_tests/generated\530.txt,5,0.13746261596679688
local_tests/generated\531.txt,3,0.14999175071716309
local_tests/generated\532.txt,16,0.11099576950073242
local_tests/generated\533.txt,6,0.11199259757995605
local_tests/generated\534.txt,-1,0.11800432205200195
local_tests/generated\535.txt,8,0.12890386581420898
local_tests/generated\536.txt,9,0.10799360275268555
local_tests/generated\537.txt,4,0.10658955574035645
local_tests/generated\538.txt,8,0.11400103569030762
local_tests/generated\539.txt,8,0.11600995063781738
local_tests/generated\540.txt,10,0.11699748039245605
local_tests/generated\541.txt,11,0.12604522705078125
local_tests/generated\542.txt,8,0.15799355506896973
local_tests/generated\543.txt,12,0.15273022651672363
local_tests/generated\544.txt,8,0.11399412155151367
local_tests/generated\545.txt,-1,0.127150297164917
local_tests/generated\546.txt,3,0.12299394607543945
local_tests/generated\547.txt,9,0.13965296745300293
local_tests/generated\548.txt,-1,0.14382243156433105
local_tests/generated\549.txt,-1,0.10898232460021973
local_tests/generated\550.txt,7,0.12693285942077637
local_tests/generated\551.txt,2,0.13199520111083984
local_tests/generated\552.txt,6,0.11460018157958984
local_tests/generated\553.txt,6,0.12900280952453613
local_tests/generated\554.txt,6,0.12663841247558594
local_tests/generated\555.txt,4,0.1251664161682129
local_tests/generated\556.txt,3,0.12337827682495117
local_tests/generated\557.txt,3,0.12099933624267578
local_tests/generated\558.txt,7,0.11983275413513184
local_tests/generated\559.txt,10,0.14962530136108398
local_tests/generated\560.txt,15,0.12900447845458984
local_tests/generated\561.txt,7,0.11158919334411621
local_tests/generated\562.txt,4,0.12000203132629395
local_tests/generated\563.txt,10,0.11798405647277832
local_tests/generated\564.txt,5,0.1349959373474121
local_tests/generated\565.txt,12,0.1365492343902588
local_tests/generated\566.txt,3,0.206742525100708
local_tests/generated\567.txt,7,0.11299324035644531
local_tests/generated\568.txt,8,0.11445856094360352
local_tests/generated\569.txt,11,0.1262667179107666
local_tests/generated\570.txt,-1,0.1066131591796875
local_tests/generated\571.txt,6,0.13799810409545898
local_tests/generated\572.txt,1,0.1175696849822998
local_tests/generated\573.txt,14,0.13016057014465332
local_tests/generated\574.txt,9,0.14998841285705566
local_tests/generated\575.txt,7,0.1508035659790039
local_tests/generated\576.txt,7,0.11646842956542969
local_tests/generated\577.txt,9,0.15192866325378418
